6T15-5.1_5.1_5.1-d|[[[2, 3, 4, 5, 1, 6], [4, 2, 5, 3, 6, 1], [3, 6, 2, 4, 1, 5]], [[2, 3, 4, 5, 1, 6], [4, 1, 3, 6, 2, 5], [6, 2, 5, 3, 1, 4]]]
6T16-3.2.1_3.2.1_3.3-a|[[[2, 3, 1, 5, 4, 6], [5, 2, 4, 6, 1, 3], [6, 5, 2, 1, 3, 4]], [[2, 3, 1, 5, 4, 6], [4, 6, 3, 1, 2, 5], [3, 4, 5, 6, 1, 2]], [[2, 3, 1, 5, 4, 6], [2, 4, 6, 1, 5, 3], [6, 4, 1, 5, 2, 3]]]
6T16-4.1.1_3.2.1_3.3-a|[[[2, 3, 4, 1, 5, 6], [6, 4, 3, 5, 2, 1], [2, 6, 5, 3, 4, 1]]]
6T16-4.2_3.2.1_3.2.1-a|[[[4, 6, 1, 5, 3, 2], [2, 3, 1, 5, 4, 6], [2, 6, 4, 3, 5, 1]], [[2, 4, 1, 3, 6, 5], [5, 3, 2, 4, 6, 1], [2, 6, 4, 3, 5, 1]], [[4, 1, 6, 5, 2, 3], [2, 6, 4, 3, 5, 1], [1, 5, 2, 6, 3, 4]], [[3, 5, 6, 1, 2, 4], [2, 3, 1, 5, 4, 6], [5, 4, 3, 6, 1, 2]]]
6T16-4.2_3.2.1_4.1.1-a|[[[2, 3, 4, 1, 6, 5], [3, 1, 2, 5, 4, 6], [5, 2, 3, 1, 6, 4]], [[2, 3, 4, 1, 6, 5], [5, 3, 2, 4, 6, 1], [4, 6, 3, 2, 5, 1]], [[2, 3, 4, 1, 6, 5], [6, 1, 4, 3, 5, 2], [3, 2, 6, 4, 1, 5]], [[2, 3, 4, 1, 6, 5], [6, 2, 4, 3, 1, 5], [3, 5, 2, 4, 1, 6]]]
6T16-4.2_4.1.1_4.1.1-a|[[[2, 3, 4, 1, 6, 5], [4, 2, 3, 5, 6, 1], [1, 6, 2, 3, 5, 4]], [[2, 3, 4, 1, 6, 5], [1, 5, 2, 3, 4, 6], [5, 1, 3, 4, 6, 2]]]
6T16-5.1_3.2.1_2.2.2-a|[[[2, 3, 4, 5, 1, 6], [3, 2, 1, 5, 6, 4], [4, 3, 2, 1, 6, 5]]]
6T16-5.1_3.2.1_3.2.1-a|[[[4, 6, 3, 5, 2, 1], [2, 3, 1, 5, 4, 6], [6, 4, 2, 3, 5, 1]]]
6T16-5.1_3.2.1_3.2.1-b|[[[2, 6, 3, 1, 4, 5], [2, 3, 1, 5, 4, 6], [5, 3, 2, 4, 6, 1]], [[4, 2, 6, 5, 3, 1], [2, 3, 1, 5, 4, 6], [6, 1, 4, 3, 5, 2]], [[2, 5, 3, 6, 4, 1], [2, 3, 1, 5, 4, 6], [6, 3, 2, 4, 1, 5]], [[5, 6, 2, 4, 3, 1], [2, 3, 1, 5, 4, 6], [6, 2, 4, 5, 3, 1]], [[3, 6, 5, 4, 2, 1], [2, 3, 1, 5, 4, 6], [6, 4, 3, 5, 2, 1]], [[4, 1, 3, 6, 2, 5], [2, 3, 1, 5, 4, 6], [1, 4, 2, 3, 6, 5]]]
6T16-5.1_3.2.1_4.1.1-a|[[[3, 1, 5, 4, 6, 2], [4, 2, 6, 1, 3, 5], [2, 3, 4, 1, 5, 6]], [[5, 1, 3, 6, 4, 2], [5, 2, 6, 3, 1, 4], [2, 3, 4, 1, 5, 6]], [[4, 6, 3, 5, 2, 1], [1, 6, 5, 3, 4, 2], [2, 3, 4, 1, 5, 6]], [[3, 5, 2, 4, 6, 1], [4, 6, 3, 1, 2, 5], [2, 3, 4, 1, 5, 6]]]
